model,loss,best_val_loss,best_epoch,gpu_peak_usage(MB),save_path
DiffusionUNet,MSE+Gradient,0.0003720407548826188,100,712.62158203125,./results/gridsearch16/checkpoints/DiffusionUNet_MSEandGradientfp16.pth
DiffusionUNet,MSE+MS-SSIM,0.0032114852219820023,8,736.1953125,./results/gridsearch16/checkpoints/DiffusionUNet_MSEandMS-SSIMfp16.pth
DiffusionUNet,Charbonnier+MS-SSIM,0.010195272509008646,47,1107.3818359375,./results/gridsearch16/checkpoints/DiffusionUNet_CharbonnierandMS-SSIMfp16.pth
DiffusionUNet,Charbonnier+Gradient,0.0020044733537361026,99,910.22802734375,./results/gridsearch16/checkpoints/DiffusionUNet_CharbonnierandGradientfp16.pth
GANomaly,MSE,16.65951919555664,2,107.1513671875,./results/gridsearch16/checkpoints/GANomaly_MSEfp16.pth
GANomaly,MSE+Gradient,13.744969844818115,5,235.40234375,./results/gridsearch16/checkpoints/GANomaly_MSEandGradientfp16.pth
GANomaly,MSE+MS-SSIM,12.625621795654297,21,265.2744140625,./results/gridsearch16/checkpoints/GANomaly_MSEandMS-SSIMfp16.pth
GANomaly,Charbonnier+MS-SSIM,12.392165184020996,17,269.8193359375,./results/gridsearch16/checkpoints/GANomaly_CharbonnierandMS-SSIMfp16.pth
GANomaly,Charbonnier+Gradient,14.167037010192871,2,246.88916015625,./results/gridsearch16/checkpoints/GANomaly_CharbonnierandGradientfp16.pth
HybridCAE,MSE,0.005987702636048198,99,99.86767578125,./results/gridsearch16/checkpoints/HybridCAE_MSEfp16.pth
HybridCAE,MSE+Gradient,0.014020872302353382,100,60.232421875,./results/gridsearch16/checkpoints/HybridCAE_MSEandGradientfp16.pth
HybridCAE,MSE+MS-SSIM,0.03586951270699501,78,129.73779296875,./results/gridsearch16/checkpoints/HybridCAE_MSEandMS-SSIMfp16.pth
HybridCAE,Charbonnier+MS-SSIM,0.11290957778692245,38,133.076171875,./results/gridsearch16/checkpoints/HybridCAE_CharbonnierandMS-SSIMfp16.pth
HybridCAE,Charbonnier+Gradient,0.04532943293452263,100,111.64892578125,./results/gridsearch16/checkpoints/HybridCAE_CharbonnierandGradientfp16.pth
RobustAutoencoder,MSE,0.00789054878987372,100,52.94384765625,./results/gridsearch16/checkpoints/RobustAutoencoder_MSEfp16.pth
RobustAutoencoder,MSE+Gradient,0.015790746081620455,100,44.07177734375,./results/gridsearch16/checkpoints/RobustAutoencoder_MSEandGradientfp16.pth
RobustAutoencoder,MSE+MS-SSIM,0.048177070915699005,45,79.83447265625,./results/gridsearch16/checkpoints/RobustAutoencoder_MSEandMS-SSIMfp16.pth
RobustAutoencoder,Charbonnier+MS-SSIM,0.12488940358161926,21,81.744140625,./results/gridsearch16/checkpoints/RobustAutoencoder_CharbonnierandMS-SSIMfp16.pth
RobustAutoencoder,Charbonnier+Gradient,0.050575120374560356,100,54.47509765625,./results/gridsearch16/checkpoints/RobustAutoencoder_CharbonnierandGradientfp16.pth
SimpleDDPM,MSE,0.04764055274426937,33,322.0849609375,./results/gridsearch16/checkpoints/SimpleDDPM_MSEfp16.pth
SimpleDDPM,MSE+Gradient,0.06751382350921631,72,427.1455078125,./results/gridsearch16/checkpoints/SimpleDDPM_MSEandGradientfp16.pth
SimpleDDPM,Charbonnier,0.12213033437728882,56,427.1455078125,./results/gridsearch16/checkpoints/SimpleDDPM_Charbonnierfp16.pth
